subject,exp_num,slope,modality
1,1,0.333151825602538,0
2,1,0.167713548478877,0
3,1,0.482272278831222,0
4,1,-0.0166162730759917,0
5,1,0.266486375311537,0
6,1,0.0171047461768697,0
7,1,-0.130199748051996,0
8,1,0.00041043404124977,0
9,1,0.000110783637206629,0
10,1,0.0838369136507667,0
11,1,0.222893688990386,0
12,1,0.0176763623541089,0
13,1,0.0109049554994631,0
14,1,-0.55743689343838,0
15,1,0.44998888569624,0
16,1,0.633339127806818,0
17,1,0.0164099280752073,0
18,1,1.79161470206219e-17,0
19,1,0.396512145467423,0
20,1,0.271315717600541,0
21,1,0.133282423891487,0
22,1,-0.233385035289356,0
23,1,0.0700416145422374,0
24,1,0.0197686806890285,0
25,1,1.79161470206219e-16,0
26,1,0.884402190472957,0
27,1,-0.0360073293726473,0
28,1,0.116726074374224,0
29,1,0.349808185692957,0
30,1,0.54983888334449,0
31,1,0.150145082808037,0
32,1,0.232133723204965,0
33,1,-0.0167354877064121,0
34,1,0.0197686806890285,0
35,1,1.79161470206219e-16,0
36,1,0.266643004179702,0
37,1,0.822520865400871,0
38,1,-0.0666679208747587,0
39,1,0.0481024417806806,0
40,1,0.133160136430109,0
41,1,-0.241473034950644,0
42,1,0.845334234970541,0
43,1,0.449142091078303,0
44,1,-1.45403651512184e-06,0
45,1,1.03734238262753,0
46,1,0.0998830856827768,0
47,1,1.64204821333384,0
48,1,0.29999014285678,0
49,1,0.0666268690362625,0
50,1,0.0500669651087079,0
51,1,0.724749647949869,0
52,1,-0.182639085512076,0
53,1,-0.116422611527484,0
54,1,0.366382757047339,0
55,1,1.43329176164975e-16,0
56,1,0.828358091579856,0
57,1,-0.0165092653990859,0
58,1,0.733517659312341,0
59,1,0.229217714463232,0
60,1,1.79161470206219e-16,0
61,1,1.63231103866657,0
62,1,-0.033474189917607,0
63,1,1.34822658431213,0
64,1,-0.162286291214108,0
65,1,0.090273900952491,0
66,1,0.333175689693983,0
67,1,0.0666644161484386,0
68,1,1.79161470206219e-16,0
69,1,0.103270399818019,0
70,1,0.496957191752293,0
71,1,0.202350084693625,0
72,1,-0.0653831320383555,0
73,1,-0.000407518902546499,0
74,1,0.133160136430109,0
75,1,0.115539359951932,0
76,1,2.8665835232995e-16,0
77,2,-0.10034180194622,0
78,2,0.548556574946471,0
79,2,0.032666023995745,0
80,2,-0.0166610240367668,0
81,2,2.14993764247463e-16,0
82,2,0.166481219758051,0
83,2,2.14993764247463e-16,0
84,2,-0.133302136449261,0
85,2,0.134837112330016,0
86,2,1.79161470206219e-16,0
87,2,0.816729295974146,0
88,2,-0.016660711585911,0
89,2,1.79161470206219e-16,0
90,2,-0.0833444518538283,0
91,2,-0.018089282877909,0
92,2,2.14993764247463e-16,0
93,2,-0.00228652501269163,0
94,2,1.79161470206219e-16,0
95,2,0.399575129356935,0
96,2,-0.133331270843119,0
97,2,-0.0511137405733087,0
98,2,-0.0807558709147096,0
99,2,-0.0668095412360505,0
100,2,-0.0511137405733087,0
101,2,0.298470730005189,0
102,2,0.100056264118674,0
103,2,0.34963938738675,0
104,2,-0.146256840431671,0
105,2,0.299955117014329,0
106,2,0.0714158456409544,0
107,2,0.141820769047728,0
108,2,-0.0165879247634158,0
109,2,-0.0499756911754271,0
110,2,1.11944305519621,0
111,2,0.314972368451891,0
112,2,0.0865260949759469,0
113,2,-0.166389827747222,0
114,2,0.116658069747967,0
115,2,0.146622657648744,0
116,2,1.79161470206219e-16,0
117,2,0.18303361230501,0
118,2,0.0166435143354591,0
119,2,0.914919009633721,0
120,2,0.516764831341618,0
121,2,1.79161470206219e-16,0
122,2,0.299809088541641,0
123,2,1.79161470206219e-16,0
124,2,0.465995118684199,0
125,2,0.183166508254375,0
126,2,0.733348561480233,0
127,2,0.0666211644791505,0
128,2,-0.116619398446024,0
129,2,-0.150103297762164,0
130,2,-0.163919938159185,0
131,2,-0.218743384910425,0
132,2,-0.0163612642221927,0
133,2,-0.0165798048277905,0
134,2,0.197616081042572,0
135,2,0.0667393749416266,0
136,2,0.21649976788328,0
137,2,0.0500784197751611,0
138,2,0.201763422327625,0
139,2,-0.120923923520329,0
140,2,0.857625172136707,0
141,2,0.0166865977782027,0
142,2,-0.0697824677050738,0
143,2,0.0668880904858403,0
144,2,-0.0166525570819272,0
145,2,0.181845013569761,0
146,2,0.100040520841566,0
147,2,0.133385095966846,0
148,2,0.0321625027706122,0
149,3,0.333059332500985,0
150,3,0.332586503963389,0
151,3,0.699796138134871,0
152,3,0.0164099280752073,0
153,3,-0.0664567373567615,0
154,3,0.0496434594745579,0
155,3,0.0751768944946581,0
156,3,-0.116874187304805,0
157,3,-0.162116084335018,0
158,3,-0.371897573263135,0
159,3,-0.0166247806474799,0
160,3,0.160275093996946,0
161,3,-0.0664567373567615,0
162,3,0.166823791733096,0
163,3,1.0135975780034,0
164,3,-0.0326444208756882,0
165,3,-0.0331652915243543,0
166,3,0.0114962488261637,0
167,3,0.516471004595423,0
168,3,0.615460815605461,0
169,3,-5.28292605705905e-07,0
170,3,-0.0166875503363037,0
171,3,0.332956359404012,0
172,3,0.0665911496432846,0
173,3,-0.0499458242749617,0
174,3,0.216585646429722,0
175,3,-0.149761990577957,0
176,3,0.233565570259277,0
177,3,1.79161470206219e-16,0
178,3,0.433513133595249,0
179,3,1.79161470206219e-16,0
180,3,-0.499670058034723,0
181,3,0.0333602448284316,0
182,3,0.549971095536182,0
183,3,0.582098181410527,0
184,3,1.79161470206219e-16,0
185,3,0.583030666879157,0
186,3,0.232570132785477,0
187,3,0.11669596557345,0
188,3,1.79161470206219e-16,0
189,3,-0.23029842060581,0
190,3,0.0931006388235466,0
191,3,0.249782086298957,0
192,3,-0.0183452942115252,0
193,3,0.416394724298539,0
194,3,0.615839795656441,0
195,3,0.174514536997705,0
196,3,1.79161470206219e-16,0
197,3,1.06442482389997,0
198,3,0.366535150924746,0
199,3,0.261104079563853,0
200,3,0.765879119754894,0
201,3,-0.0999345519544405,0
202,3,0.450116601000318,0
203,3,0.972685657388485,0
204,3,1.07496882123731e-16,0
205,3,0.166500926146673,0
206,3,0.633248813711846,0
207,3,0.799848739440229,0
208,3,0.0131043930132203,0
209,3,0.550010416412257,0
210,3,0.0332551472669218,0
211,3,0.716425350097106,0
212,3,-0.280549989931297,0
213,3,0.316385836295601,0
214,3,-4.80858569553884e-07,0
215,3,1.43329176164975e-16,0
216,3,0.554136784589735,0
217,3,-0.0651511944819367,0
218,3,-0.0832890137409343,0
219,3,0.0739518903702583,0
220,3,0.262004862455492,0
221,3,0.183367092274785,0
222,3,0.330527638821464,0
223,3,0.315828000504122,0
224,3,0.865905231924873,0
225,3,0.0332512206905602,0
226,3,0.264465277884723,0
227,3,0.171617790373902,0
228,3,0.936772917723769,0
229,3,0.432701903765773,0
230,3,0.849936470115637,0
231,3,0.73272828043336,0
232,4,-0,0
233,4,-0,0
234,4,-0.000747934702353987,0
235,4,-0,0
236,4,-0,0
237,4,-0.234966145500211,0
238,4,-0,0
239,4,-0,0
240,4,-0.12145907556795,0
241,4,-0,0
242,4,-0,0
243,4,-0.146802492746776,0
244,4,-0.0888295553574632,0
245,4,0.910930133474862,0
246,4,-0.117966819159547,0
247,4,0.470595402339231,0
248,4,-0,0
249,4,-0,0
250,4,-0,0
251,4,-0.0292673326200411,0
252,4,0.545653118315322,0
253,4,1.0375596153207,0
254,4,0.705134243614198,0
255,4,-0.294295457382177,0
256,4,0.585323420072845,0
257,4,0.11737896014497,0
258,4,-0,0
259,4,0.939808612223431,0
260,4,0.735235383643154,0
261,4,0.264714480353416,0
262,4,-0,0
263,4,-0.19535444072971,0
264,4,0.690753592775639,0
265,4,-0,0
266,4,0.00826119071149909,0
267,4,0.705509120809831,0
268,4,1.17622844054017,0
269,4,0.644595531458992,0
270,4,0.0292694819744978,0
271,4,0.151918528018268,0
272,4,-0,0
273,4,0.353015141328693,0
274,4,1.06518136655157,0
275,4,0.82197856490377,0
276,4,0.0589201245789872,0
277,4,-0,0
278,4,0.588111630895133,0
279,4,0.823528603602824,0
280,4,-0,0
281,4,0.951546380846323,0
282,4,0.499643945849333,0
283,4,0.11737241998715,0
284,4,0.175317942834339,0
285,4,0.889661797200785,0
286,4,-0,0
287,4,-0,0
288,4,0.11737241998715,0
289,4,0.151918528018268,0
290,4,0.852713772641483,0
291,4,0.499563554277041,0
292,4,-0,0
293,4,0.470256980385381,0
294,4,0.628935739654848,0
295,4,0.119428283267222,0
296,4,-0,0
297,4,0.541532539744836,0
298,4,0.941172016290394,0
299,4,1.01670364631758,0
300,4,0.294186026506495,0
301,4,-0.00182140533271972,0
302,4,0.911690372150367,0
303,4,0.264828221376623,0
304,4,1.1173749189355,0
305,4,1.14641851904129,0
306,4,0.852633747943213,0
307,4,0.913553433121921,0
308,4,0.969866685159874,0
309,4,-0,0
310,4,-0,0
311,4,0.58785808632049,0
312,4,2.24266153826734e-08,0
313,4,0.0881518407075471,0
314,4,0.85357583529597,0
315,4,-0,0
316,4,-0,0
317,4,0.920324055842253,0
318,4,0.705807461535465,0
319,4,0.0552275047361432,0
320,4,0.558467054346783,0
321,5,-0.149507276903947,0
322,5,-0.0998532091141,0
323,5,-0.433156667368098,0
