,sub,prolific_id,elic,p1,p2,rtime,out,cfout,cho,corr,10,trial,cond,cont1,cont2,15,16,17,rew,sess,op1,op2,ev1,ev2,catch,25,26,dist,plot,dbtime
7350,9055610813.0,,0.0,0.7,0.1,844.0,-1.0,1.0,2.0,0.0,1.0,5.0,-1.0,7.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.4,-0.8,0.0,1.0,282662.0,-1.0,0.0,
7351,8563077791.0,,0.0,0.1,0.3,1837.0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1.0,1.0,3.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.8,-0.4,0.0,0.0,207033.0,-1.0,0.0,
7352,2683683758.0,,0.0,0.8,0.1,1044.0,-1.0,1.0,2.0,0.0,1.0,26.0,-1.0,8.0,1.0,-1.0,-1.0,-1.0,-3.0,0.0,-1.0,-1.0,0.6,-0.8,0.0,1.0,984871.0,-1.0,0.0,
7353,3418277524.0,,-1.0,0.9,0.1,561.0,1.0,-1.0,1.0,1.0,1.0,37.0,0.0,9.0,1.0,4.0,1.0,1.0,10.0,0.0,1.0,4.0,0.8,-0.8,-1.0,1.0,440586.0,0.0,0.0,
7354,7392939566.0,,-1.0,0.9,0.1,634.0,-1.0,-1.0,2.0,0.0,0.0,3.0,0.0,-1.0,-1.0,4.0,1.0,1.0,0.0,-1.0,4.0,1.0,0.8,-0.8,-1.0,0.0,183169.0,0.0,0.0,
7355,1138883564.0,,-1.0,0.8,0.2,1387.0,1.0,-1.0,1.0,1.0,1.0,3.0,1.0,8.0,2.0,15.0,11.0,1.0,2.0,0.0,11.0,15.0,0.6,-0.6,-1.0,1.0,458935.0,0.0,0.0,
7356,7279099150.0,,-1.0,0.6,0.4,1433.0,1.0,-1.0,1.0,1.0,1.0,22.0,3.0,6.0,4.0,8.0,2.0,-1.0,-5.0,0.0,8.0,2.0,0.2,-0.2,-1.0,0.0,618944.0,0.0,0.0,
7357,8364843592.0,,0.0,0.1,0.3,3158.0,1.0,-1.0,2.0,1.0,1.0,1.0,-1.0,1.0,3.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.8,-0.4,0.0,1.0,191286.0,-1.0,0.0,
7358,7664158155.0,,-1.0,0.6,0.4,898.0,1.0,1.0,1.0,1.0,1.0,119.0,3.0,6.0,4.0,9.0,1.0,1.0,48.0,0.0,1.0,9.0,0.2,-0.2,-1.0,1.0,779385.0,0.0,0.0,
7359,5800504404.0,,-1.0,0.8,0.2,989.0,1.0,-1.0,1.0,1.0,1.0,105.0,1.0,8.0,2.0,15.0,4.0,1.0,36.0,0.0,4.0,15.0,0.6,-0.6,-1.0,1.0,704468.0,0.0,0.0,
7360,9679844530.0,,-1.0,0.9,0.1,526.0,1.0,1.0,1.0,1.0,1.0,60.0,0.0,9.0,1.0,6.0,10.0,1.0,15.0,0.0,10.0,6.0,0.8,-0.8,-1.0,1.0,594031.0,0.0,0.0,
7361,7314120567.0,,-1.0,0.6,0.4,1256.0,-1.0,-1.0,2.0,0.0,1.0,7.0,3.0,6.0,4.0,2.0,14.0,1.0,0.0,0.0,2.0,14.0,0.2,-0.2,-1.0,0.0,429511.0,0.0,0.0,
