,sub,prolific_id,elic,p1,p2,rtime,out,cfout,cho,corr,10,trial,cond,cont1,cont2,15,16,17,rew,sess,op1,op2,ev1,ev2,catch,25,26,dist,plot,dbtime
25303,6392030387.0,,0.0,0.8,0.3,931.0,-1.0,1.0,2.0,0.0,1.0,0.0,-1.0,8.0,3.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.6,-0.4,0.0,1.0,102887.0,-1.0,0.0,
25304,7600874000.0,,0.0,0.7,0.9,3081.0,1.0,1.0,2.0,1.0,1.0,51.0,-1.0,7.0,9.0,-1.0,-1.0,-1.0,40.0,0.0,-1.0,-1.0,0.4,0.8,0.0,1.0,1553420.0,-1.0,0.0,
25305,6684258137.0,,0.0,0.7,0.9,2208.0,1.0,1.0,2.0,1.0,1.0,77.0,-1.0,7.0,9.0,-1.0,-1.0,-1.0,38.0,0.0,-1.0,-1.0,0.4,0.8,0.0,1.0,1458194.0,-1.0,0.0,
25306,624469757.0,,-1.0,0.7,0.3,2261.0,-1.0,-1.0,2.0,0.0,0.0,9.0,2.0,-1.0,-1.0,7.0,8.0,1.0,0.0,-1.0,7.0,8.0,0.4,-0.4,-1.0,0.0,92126.0,0.0,0.0,
25307,2153297900.0,,0.0,0.7,0.3,1416.0,1.0,-1.0,1.0,1.0,1.0,73.0,-1.0,7.0,3.0,-1.0,-1.0,-1.0,64.0,0.0,-1.0,-1.0,0.4,-0.4,0.0,0.0,2082360.0,-1.0,0.0,
25308,4493203277.0,,0.0,0.3,0.7,1233.0,1.0,1.0,1.0,0.0,1.0,93.0,-1.0,3.0,7.0,-1.0,-1.0,-1.0,4.0,0.0,-1.0,-1.0,-0.4,0.4,0.0,0.0,1407687.0,-1.0,0.0,
25309,6392030387.0,,0.0,0.8,0.0,790.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,8.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.6,-1.0,0.0,1.0,106333.0,-1.0,0.0,
25310,408206757.0,,-1.0,0.6,0.4,5489.0,-1.0,-1.0,1.0,1.0,1.0,13.0,3.0,6.0,4.0,16.0,8.0,-1.0,4.0,0.0,16.0,8.0,0.2,-0.2,-1.0,0.0,1097457.0,0.0,0.0,
25311,6684258137.0,,0.0,0.7,0.2,1291.0,1.0,-1.0,1.0,1.0,1.0,78.0,-1.0,7.0,2.0,-1.0,-1.0,-1.0,39.0,0.0,-1.0,-1.0,0.4,-0.6,0.0,0.0,1462908.0,-1.0,0.0,
25312,4493203277.0,,0.0,0.3,0.0,557.0,1.0,-1.0,1.0,1.0,1.0,94.0,-1.0,3.0,0.0,-1.0,-1.0,-1.0,5.0,0.0,-1.0,-1.0,-0.4,-1.0,0.0,0.0,1411440.0,-1.0,0.0,
25313,624469757.0,,-1.0,0.7,0.3,1808.0,1.0,-1.0,1.0,1.0,0.0,10.0,2.0,-1.0,-1.0,8.0,7.0,1.0,0.0,-1.0,7.0,8.0,0.4,-0.4,-1.0,1.0,96930.0,0.0,0.0,
25314,2153297900.0,,0.0,0.7,0.2,1742.0,1.0,-1.0,1.0,1.0,1.0,74.0,-1.0,7.0,2.0,-1.0,-1.0,1.0,65.0,0.0,-1.0,-1.0,0.4,-0.6,0.0,1.0,2086283.0,-1.0,0.0,
25315,8571345777.0,,2.0,0.8,0.0,6485.0,1.0,-1.0,80.0,1.0,1.0,2.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,73.0,0.0,-1.0,-1.0,0.6,-1.0,0.0,0.0,1628508.0,0.0,0.5,
25316,6392030387.0,,0.0,0.8,0.2,747.0,-1.0,1.0,2.0,0.0,1.0,2.0,-1.0,8.0,2.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.6,-0.6,0.0,0.0,109631.0,-1.0,0.0,
25317,7600874000.0,,0.0,0.7,1.0,1200.0,1.0,1.0,2.0,1.0,1.0,52.0,-1.0,7.0,10.0,-1.0,-1.0,-1.0,41.0,0.0,-1.0,-1.0,0.4,1.0,0.0,1.0,1561463.0,-1.0,0.0,
25318,6684258137.0,,0.0,0.7,0.4,1053.0,1.0,-1.0,1.0,1.0,1.0,79.0,-1.0,7.0,4.0,-1.0,-1.0,-1.0,40.0,0.0,-1.0,-1.0,0.4,-0.2,0.0,0.0,1466703.0,-1.0,0.0,
25319,4493203277.0,,0.0,0.7,0.3,565.0,1.0,-1.0,1.0,1.0,1.0,95.0,-1.0,7.0,3.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,-1.0,0.4,-0.4,1.0,0.0,1414519.0,-1.0,0.0,
25320,6392030387.0,,0.0,0.8,0.1,657.0,-1.0,-1.0,1.0,1.0,1.0,3.0,-1.0,8.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.6,-0.8,0.0,0.0,112888.0,-1.0,0.0,
25321,624469757.0,,-1.0,0.7,0.3,1978.0,-1.0,-1.0,2.0,0.0,0.0,11.0,2.0,-1.0,-1.0,7.0,8.0,1.0,0.0,-1.0,7.0,8.0,0.4,-0.4,-1.0,0.0,101282.0,0.0,0.0,
25322,8275437446.0,,0.0,0.9,0.2,148581.0,1.0,-1.0,1.0,1.0,1.0,74.0,-1.0,9.0,2.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,-1.0,0.8,-0.6,0.0,0.0,3722031.0,-1.0,0.0,
25323,408206757.0,,-1.0,0.6,0.4,3712.0,1.0,-1.0,1.0,1.0,1.0,14.0,3.0,6.0,4.0,8.0,16.0,1.0,5.0,0.0,16.0,8.0,0.2,-0.2,-1.0,1.0,1105452.0,0.0,0.0,
25324,8571345777.0,,2.0,0.3,0.0,4873.0,1.0,-1.0,50.0,0.0,1.0,3.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,74.0,0.0,-1.0,-1.0,-0.4,-1.0,0.0,0.0,1635711.0,20.0,0.24,
25325,6392030387.0,,0.0,1.0,0.0,821.0,1.0,-1.0,1.0,1.0,1.0,4.0,-1.0,10.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,116056.0,-1.0,0.0,
25326,6684258137.0,,0.0,0.7,0.5,1491.0,-1.0,1.0,1.0,1.0,1.0,80.0,-1.0,7.0,5.0,-1.0,-1.0,1.0,39.0,0.0,-1.0,-1.0,0.4,0.0,0.0,1.0,1470264.0,-1.0,0.0,
25327,7600874000.0,,0.0,0.7,0.6,2478.0,1.0,1.0,2.0,0.0,1.0,53.0,-1.0,7.0,6.0,-1.0,-1.0,-1.0,42.0,0.0,-1.0,-1.0,0.4,0.2,0.0,1.0,1567661.0,-1.0,0.0,
25328,2153297900.0,,0.0,0.7,0.9,6033.0,1.0,1.0,2.0,1.0,1.0,75.0,-1.0,7.0,9.0,-1.0,-1.0,-1.0,66.0,0.0,-1.0,-1.0,0.4,0.8,0.0,1.0,2090531.0,-1.0,0.0,
25329,8275437446.0,,0.0,0.9,0.8,1841.0,1.0,-1.0,2.0,0.0,1.0,75.0,-1.0,9.0,8.0,-1.0,-1.0,1.0,12.0,0.0,-1.0,-1.0,0.8,0.6,0.0,0.0,3873127.0,-1.0,0.0,
25330,6392030387.0,,0.0,0.2,0.1,741.0,-1.0,1.0,2.0,0.0,1.0,5.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-0.6,-0.8,0.0,0.0,119386.0,-1.0,0.0,
