,sub_id,phase,p1,p2,rtime,out,cfout,cho,corr,trial,cond,chose_right,rew,sess,op1,op2,ev1,ev2,catch,reversed
0,3325406994.0,LE,0.7,0.3,1378.0,-1.0,1.0,2.0,0.0,0.0,2.0,-1.0,0.0,-1.0,E,E,0.4,-0.4,-1.0,1.0
1,3325406994.0,LE,0.7,0.3,1167.0,1.0,-1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,E,E,0.4,-0.4,-1.0,1.0
2,3325406994.0,LE,0.7,0.3,890.0,1.0,1.0,1.0,1.0,2.0,2.0,-1.0,0.0,-1.0,E,E,0.4,-0.4,-1.0,0.0
3,3325406994.0,LE,0.8,0.2,2029.0,-1.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,-1.0,E,E,0.6,-0.6,-1.0,0.0
4,3325406994.0,LE,0.8,0.2,1318.0,1.0,-1.0,1.0,1.0,4.0,1.0,1.0,0.0,-1.0,E,E,0.6,-0.6,-1.0,1.0
5,3325406994.0,LE,0.8,0.2,628.0,1.0,-1.0,1.0,1.0,5.0,1.0,1.0,0.0,-1.0,E,E,0.6,-0.6,-1.0,1.0
6,3325406994.0,LE,0.6,0.4,1100.0,-1.0,1.0,2.0,0.0,6.0,3.0,1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,0.0
7,3325406994.0,LE,0.6,0.4,783.0,-1.0,-1.0,1.0,1.0,7.0,3.0,1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,1.0
8,3558275959.0,LE,0.9,0.1,3430.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,0.0,-1.0,E,E,0.8,-0.8,-1.0,1.0
9,3325406994.0,LE,0.6,0.4,522.0,1.0,-1.0,1.0,1.0,8.0,3.0,1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,1.0
10,3558275959.0,LE,0.9,0.1,1319.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,E,E,0.8,-0.8,-1.0,1.0
11,3325406994.0,LE,0.9,0.1,1336.0,-1.0,1.0,2.0,0.0,9.0,0.0,-1.0,0.0,-1.0,E,E,0.8,-0.8,-1.0,1.0
12,3558275959.0,LE,0.9,0.1,1144.0,1.0,-1.0,1.0,1.0,2.0,0.0,-1.0,0.0,-1.0,E,E,0.8,-0.8,-1.0,0.0
13,3325406994.0,LE,0.9,0.1,864.0,1.0,-1.0,1.0,1.0,10.0,0.0,-1.0,0.0,-1.0,E,E,0.8,-0.8,-1.0,0.0
14,3325406994.0,LE,0.9,0.1,938.0,1.0,-1.0,1.0,1.0,11.0,0.0,1.0,0.0,-1.0,E,E,0.8,-0.8,-1.0,1.0
15,3558275959.0,LE,0.6,0.4,5727.0,1.0,-1.0,1.0,1.0,3.0,3.0,-1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,0.0
16,3558275959.0,LE,0.6,0.4,813.0,-1.0,1.0,1.0,1.0,4.0,3.0,1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,1.0
17,3558275959.0,LE,0.6,0.4,942.0,-1.0,1.0,1.0,1.0,5.0,3.0,-1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,0.0
18,3558275959.0,LE,0.8,0.2,4303.0,1.0,-1.0,2.0,0.0,6.0,1.0,1.0,0.0,-1.0,E,E,0.6,-0.6,-1.0,0.0
19,3558275959.0,LE,0.8,0.2,528.0,1.0,-1.0,1.0,1.0,7.0,1.0,-1.0,0.0,-1.0,E,E,0.6,-0.6,-1.0,0.0
