,sub_id,phase,p1,p2,rtime,out,cfout,cho,corr,trial,cond,chose_right,rew,sess,op1,op2,ev1,ev2,catch,reversed
12829,7202981021.0,LE,0.8,0.2,1590.0,-1.0,-1.0,2.0,0.0,13.0,1.0,-1.0,0.0,0.0,E,E,0.6,-0.6,-1.0,1.0
12830,5558955607.0,ES,0.7,0.0,1153.0,1.0,-1.0,1.0,1.0,9.0,-1.0,1.0,0.0,-1.0,E,S,0.4,-1.0,0.0,1.0
12831,1165296301.0,ES,0.2,0.1,2366.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.0,-1.0,E,S,-0.6,-0.8,0.0,1.0
12832,3695535108.0,LE,0.6,0.4,658.0,-1.0,-1.0,1.0,1.0,47.0,3.0,-1.0,2.0,0.0,E,E,0.2,-0.2,-1.0,0.0
12833,6217730760.0,ES,0.2,0.2,801.0,1.0,-1.0,1.0,1.0,7.0,-1.0,1.0,0.0,-1.0,E,S,-0.6,-0.6,0.0,1.0
12834,6420511519.0,LE,0.7,0.3,2217.0,1.0,-1.0,1.0,1.0,32.0,2.0,-1.0,7.0,0.0,E,E,0.4,-0.4,-1.0,0.0
12835,5158128055.0,LE,0.7,0.3,3886.0,-1.0,1.0,2.0,0.0,40.0,2.0,1.0,9.0,0.0,E,E,0.4,-0.4,-1.0,0.0
12836,4785418942.0,LE,0.9,0.1,1768.0,1.0,-1.0,1.0,1.0,93.0,0.0,1.0,8.0,0.0,E,E,0.8,-0.8,-1.0,1.0
12837,4174011770.0,LE,0.8,0.2,899.0,1.0,1.0,1.0,1.0,84.0,1.0,1.0,19.0,0.0,E,E,0.6,-0.6,-1.0,1.0
12838,324224518.0,LE,0.7,0.3,1341.0,1.0,-1.0,1.0,1.0,53.0,2.0,-1.0,8.0,0.0,E,E,0.4,-0.4,-1.0,0.0
12839,5956827432.0,LE,0.6,0.4,3259.0,-1.0,-1.0,2.0,0.0,9.0,3.0,-1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,1.0
12840,5176462016.0,ES,0.9,0.3,1238.0,1.0,-1.0,1.0,1.0,10.0,-1.0,-1.0,0.0,-1.0,E,S,0.8,-0.4,0.0,0.0
12841,4380434963.0,LE,0.6,0.4,432.0,-1.0,-1.0,2.0,0.0,8.0,3.0,1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,0.0
12842,7314120567.0,ES,0.2,0.8,747.0,1.0,1.0,2.0,1.0,91.0,-1.0,1.0,52.0,0.0,E,S,-0.6,0.6,0.0,0.0
12843,6205914374.0,LE,0.8,0.2,1400.0,1.0,-1.0,1.0,1.0,17.0,1.0,1.0,2.0,0.0,E,E,0.6,-0.6,-1.0,1.0
12844,7370032445.0,LE,0.9,0.1,1352.0,1.0,-1.0,1.0,1.0,36.0,0.0,-1.0,13.0,0.0,E,E,0.8,-0.8,-1.0,0.0
12845,7158154241.0,LE,0.6,0.4,1238.0,-1.0,-1.0,1.0,1.0,5.0,3.0,1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,1.0
12846,7279099150.0,SP,0.3,0.0,2471.0,-1.0,-1.0,45.0,0.0,4.0,-1.0,-1.0,26.0,0.0,-1.0,-1.0,-0.4,-1.0,0.0,0.0
12847,7583986696.0,LE,0.9,0.1,536.0,1.0,-1.0,1.0,1.0,57.0,0.0,1.0,6.0,0.0,E,E,0.8,-0.8,-1.0,1.0
12848,5690295193.0,LE,0.8,0.2,1217.0,-1.0,-1.0,2.0,0.0,6.0,1.0,-1.0,0.0,-1.0,E,E,0.6,-0.6,-1.0,1.0
12849,65445405.0,LE,0.8,0.2,1235.0,-1.0,-1.0,1.0,1.0,100.0,1.0,-1.0,1.0,0.0,E,E,0.6,-0.6,-1.0,0.0
