,sub_id,phase,p1,p2,rtime,out,cfout,cho,corr,trial,cond,chose_right,rew,sess,op1,op2,ev1,ev2,catch,reversed
0,3881872107.0,LE,0.6,0.4,5261.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0,E,E,0.2,-0.2,0.0,0.0
1,9923207338.0,LE,0.6,0.4,1461.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,E,E,0.2,-0.2,0.0,0.0
2,3881872107.0,LE,0.6,0.4,2316.0,-1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,-1.0,E,E,0.2,-0.2,0.0,1.0
3,9923207338.0,LE,0.6,0.4,1382.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,E,E,0.2,-0.2,0.0,1.0
4,5967314420.0,LE,0.6,0.4,4280.0,1.0,-1.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0,E,E,0.2,-0.2,0.0,0.0
5,3881872107.0,LE,0.6,0.4,788.0,-1.0,-1.0,2.0,0.0,2.0,1.0,1.0,0.0,-1.0,E,E,0.2,-0.2,0.0,0.0
6,9923207338.0,LE,0.6,0.4,1862.0,-1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,-1.0,E,E,0.2,-0.2,0.0,1.0
7,5967314420.0,LE,0.6,0.4,1864.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,E,E,0.2,-0.2,0.0,0.0
8,3881872107.0,LE,0.6,0.4,725.0,-1.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,-1.0,E,E,0.2,-0.2,0.0,0.0
9,9923207338.0,LE,0.6,0.4,1034.0,1.0,-1.0,2.0,0.0,3.0,1.0,0.0,0.0,-1.0,E,E,0.2,-0.2,0.0,1.0
10,5967314420.0,LE,0.6,0.4,829.0,-1.0,-1.0,1.0,1.0,2.0,1.0,0.0,0.0,-1.0,E,E,0.2,-0.2,0.0,0.0
11,3881872107.0,LE,0.6,0.4,890.0,-1.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,-1.0,E,E,0.2,-0.2,0.0,1.0
12,9923207338.0,LE,0.6,0.4,880.0,1.0,-1.0,1.0,1.0,4.0,1.0,0.0,0.0,-1.0,E,E,0.2,-0.2,0.0,0.0
13,3881872107.0,LE,0.9,0.1,156.0,-1.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,-1.0,E,E,0.8,-0.8,0.0,0.0
14,5967314420.0,LE,0.6,0.4,1697.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,-1.0,E,E,0.2,-0.2,0.0,0.0
15,3881872107.0,LE,0.9,0.1,385.0,-1.0,1.0,2.0,0.0,6.0,0.0,1.0,0.0,-1.0,E,E,0.8,-0.8,0.0,0.0
16,9923207338.0,LE,0.9,0.1,1905.0,-1.0,-1.0,1.0,1.0,5.0,0.0,0.0,0.0,-1.0,E,E,0.8,-0.8,0.0,0.0
17,5967314420.0,LE,0.6,0.4,677.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,-1.0,E,E,0.2,-0.2,0.0,0.0
18,9923207338.0,LE,0.9,0.1,969.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,-1.0,E,E,0.8,-0.8,0.0,1.0
19,3881872107.0,LE,0.9,0.1,1805.0,1.0,-1.0,1.0,1.0,7.0,0.0,1.0,0.0,-1.0,E,E,0.8,-0.8,0.0,1.0
20,5967314420.0,LE,0.9,0.1,2273.0,-1.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,-1.0,E,E,0.8,-0.8,0.0,0.0
21,9923207338.0,LE,0.9,0.1,669.0,-1.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,-1.0,E,E,0.8,-0.8,0.0,1.0
22,3881872107.0,LE,0.9,0.1,1023.0,1.0,-1.0,1.0,1.0,8.0,0.0,0.0,0.0,-1.0,E,E,0.8,-0.8,0.0,0.0
23,5967314420.0,LE,0.9,0.1,2293.0,-1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,-1.0,E,E,0.8,-0.8,0.0,1.0
24,9923207338.0,LE,0.9,0.1,624.0,1.0,-1.0,1.0,1.0,8.0,0.0,0.0,0.0,-1.0,E,E,0.8,-0.8,0.0,0.0
25,3881872107.0,LE,0.9,0.1,1072.0,-1.0,-1.0,1.0,1.0,9.0,0.0,0.0,0.0,-1.0,E,E,0.8,-0.8,0.0,0.0
26,9923207338.0,LE,0.9,0.1,729.0,1.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,-1.0,E,E,0.8,-0.8,0.0,1.0
27,5967314420.0,LE,0.9,0.1,1137.0,1.0,-1.0,1.0,1.0,7.0,0.0,1.0,0.0,-1.0,E,E,0.8,-0.8,0.0,1.0
28,5967314420.0,LE,0.9,0.1,1335.0,-1.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,-1.0,E,E,0.8,-0.8,0.0,1.0
29,5967314420.0,LE,0.9,0.1,940.0,-1.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,-1.0,E,E,0.8,-0.8,0.0,1.0
30,218994630.0,LE,0.6,0.4,3055.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0,E,E,0.2,-0.2,0.0,0.0
31,7919854825.0,LE,0.6,0.4,2509.0,-1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,E,E,0.2,-0.2,0.0,0.0
