index,sub_id,phase,p1,p2,rtime,out,cfout,cho,corr,trial,cond,chose_right,rew,sess,op1,op2,ev1,ev2,catch_trial,reversed
12196,5392681332.0,LE,0.9,0.1,2063.0,1.0,-1.0,1.0,1.0,34.0,0.0,1,13.0,0.0,E,E,0.8,-0.8,0.0,1.0
12197,5392681332.0,LE,0.9,0.1,654.0,-1.0,-1.0,1.0,1.0,35.0,0.0,0,12.0,0.0,E,E,0.8,-0.8,0.0,0.0
12198,5392681332.0,LE,0.9,0.1,391.0,-1.0,1.0,2.0,0.0,36.0,0.0,0,11.0,0.0,E,E,0.8,-0.8,0.0,1.0
12199,5392681332.0,LE,0.9,0.1,622.0,1.0,-1.0,1.0,1.0,37.0,0.0,0,12.0,0.0,E,E,0.8,-0.8,0.0,0.0
12200,5392681332.0,LE,0.9,0.1,3561.0,1.0,-1.0,1.0,1.0,38.0,0.0,1,13.0,0.0,E,E,0.8,-0.8,0.0,1.0
12201,5392681332.0,LE,0.9,0.1,1456.0,1.0,-1.0,1.0,1.0,39.0,0.0,0,14.0,0.0,E,E,0.8,-0.8,0.0,0.0
12202,5392681332.0,LE,0.9,0.1,735.0,-1.0,-1.0,1.0,1.0,40.0,0.0,0,13.0,0.0,E,E,0.8,-0.8,0.0,0.0
12203,5392681332.0,LE,0.9,0.1,677.0,1.0,-1.0,1.0,1.0,41.0,0.0,1,14.0,0.0,E,E,0.8,-0.8,0.0,1.0
12204,5392681332.0,LE,0.9,0.1,1647.0,1.0,-1.0,1.0,1.0,42.0,0.0,1,15.0,0.0,E,E,0.8,-0.8,0.0,1.0
12205,5392681332.0,LE,0.9,0.1,1360.0,-1.0,1.0,2.0,0.0,43.0,0.0,0,14.0,0.0,E,E,0.8,-0.8,0.0,1.0
12206,5392681332.0,LE,0.9,0.1,590.0,1.0,-1.0,1.0,1.0,44.0,0.0,0,15.0,0.0,E,E,0.8,-0.8,0.0,0.0
12207,5392681332.0,LE,0.9,0.1,1480.0,1.0,-1.0,1.0,1.0,45.0,0.0,1,16.0,0.0,E,E,0.8,-0.8,0.0,1.0
12208,5392681332.0,LE,0.9,0.1,787.0,-1.0,-1.0,1.0,1.0,46.0,0.0,0,15.0,0.0,E,E,0.8,-0.8,0.0,0.0
12209,5392681332.0,LE,0.9,0.1,536.0,1.0,-1.0,1.0,1.0,47.0,0.0,0,16.0,0.0,E,E,0.8,-0.8,0.0,0.0
12210,5392681332.0,LE,0.9,0.1,855.0,-1.0,-1.0,1.0,1.0,48.0,0.0,0,15.0,0.0,E,E,0.8,-0.8,0.0,0.0
12211,5392681332.0,LE,0.9,0.1,585.0,1.0,-1.0,1.0,1.0,49.0,0.0,0,16.0,0.0,E,E,0.8,-0.8,0.0,0.0
12212,5392681332.0,LE,0.9,0.1,799.0,1.0,-1.0,1.0,1.0,50.0,0.0,0,17.0,0.0,E,E,0.8,-0.8,0.0,0.0
12213,5392681332.0,LE,0.9,0.1,807.0,1.0,-1.0,1.0,1.0,51.0,0.0,0,18.0,0.0,E,E,0.8,-0.8,0.0,0.0
12214,5392681332.0,LE,0.9,0.1,703.0,1.0,-1.0,1.0,1.0,52.0,0.0,0,19.0,0.0,E,E,0.8,-0.8,0.0,0.0
12215,5392681332.0,LE,0.9,0.1,549.0,-1.0,1.0,2.0,0.0,53.0,0.0,0,18.0,0.0,E,E,0.8,-0.8,0.0,1.0
12216,5392681332.0,LE,0.9,0.1,895.0,1.0,1.0,1.0,1.0,54.0,0.0,1,19.0,0.0,E,E,0.8,-0.8,0.0,1.0
12217,5392681332.0,LE,0.9,0.1,1280.0,-1.0,-1.0,1.0,1.0,55.0,0.0,1,18.0,0.0,E,E,0.8,-0.8,0.0,1.0
12218,5392681332.0,LE,0.9,0.1,533.0,1.0,-1.0,1.0,1.0,56.0,0.0,0,19.0,0.0,E,E,0.8,-0.8,0.0,0.0
12219,5392681332.0,LE,0.9,0.1,463.0,1.0,-1.0,1.0,1.0,57.0,0.0,0,20.0,0.0,E,E,0.8,-0.8,0.0,0.0
12220,5392681332.0,LE,0.9,0.1,1391.0,-1.0,1.0,2.0,0.0,58.0,0.0,1,19.0,0.0,E,E,0.8,-0.8,0.0,0.0
12221,5392681332.0,LE,0.9,0.1,754.0,1.0,-1.0,1.0,1.0,59.0,0.0,0,20.0,0.0,E,E,0.8,-0.8,0.0,0.0
12222,5392681332.0,LE,0.8,0.2,1724.0,1.0,1.0,1.0,1.0,60.0,1.0,0,21.0,0.0,E,E,0.6,-0.6,0.0,0.0
12223,5392681332.0,LE,0.8,0.2,702.0,1.0,-1.0,1.0,1.0,61.0,1.0,0,22.0,0.0,E,E,0.6,-0.6,0.0,0.0
12224,5392681332.0,LE,0.8,0.2,717.0,1.0,1.0,2.0,0.0,62.0,1.0,0,23.0,0.0,E,E,0.6,-0.6,0.0,1.0
12225,5392681332.0,LE,0.8,0.2,911.0,-1.0,-1.0,1.0,1.0,63.0,1.0,0,22.0,0.0,E,E,0.6,-0.6,0.0,0.0
