subject,exp_num,RT,p,modality
7,5,753,0.2,EE
7,5,797,0.3,ED_e
7,5,830,0.3,EE
7,5,933,0.4,ED_e
7,5,812,0.4,EE
7,5,904,0.6,ED_e
7,5,741,0.6,EE
7,5,803,0.7,ED_e
7,5,739,0.7,EE
7,5,1003,0.8,ED_e
7,5,720,0.8,EE
7,5,1083,0.9,ED_e
7,5,810.5,0.9,EE
8,5,1497.5,0,ED_d
8,5,1206,0.1,ED_d
8,5,1345.5,0.2,ED_d
8,5,2138.5,0.3,ED_d
8,5,1500.5,0.4,ED_d
8,5,1454.5,0.5,ED_d
8,5,1482,0.6,ED_d
8,5,1496.5,0.7,ED_d
8,5,905.5,0.8,ED_d
8,5,973,0.9,ED_d
8,5,2636.5,1,ED_d
8,5,1126,0.1,ED_e
8,5,905,0.1,EE
8,5,1294,0.2,ED_e
8,5,2167.5,0.2,EE
8,5,1295,0.3,ED_e
8,5,1610,0.3,EE
8,5,2228,0.4,ED_e
8,5,1249.5,0.4,EE
8,5,2565,0.6,ED_e
8,5,2038,0.6,EE
8,5,1335,0.7,ED_e
8,5,1991,0.7,EE
8,5,2144,0.8,ED_e
8,5,3473.5,0.8,EE
8,5,1381,0.9,ED_e
8,5,1914,0.9,EE
9,5,2205,0,ED_d
9,5,2668,0.1,ED_d
9,5,2222,0.2,ED_d
9,5,2515,0.3,ED_d
9,5,2785,0.4,ED_d
9,5,2001,0.5,ED_d
9,5,2179,0.6,ED_d
9,5,1945.5,0.7,ED_d
9,5,2061.5,0.8,ED_d
9,5,2235,0.9,ED_d
9,5,2072,1,ED_d
9,5,2126,0.1,ED_e
9,5,3208,0.1,EE
9,5,2246,0.2,ED_e
9,5,2578,0.2,EE
9,5,1965,0.3,ED_e
9,5,2027,0.3,EE
9,5,2355,0.4,ED_e
9,5,2765,0.4,EE
9,5,2200,0.6,ED_e
9,5,2315,0.6,EE
9,5,2509,0.7,ED_e
9,5,1830,0.7,EE
9,5,2018,0.8,ED_e
9,5,2483,0.8,EE
9,5,2198,0.9,ED_e
9,5,2423,0.9,EE
10,5,1330,0,ED_d
10,5,1688,0.1,ED_d
10,5,1593,0.2,ED_d
10,5,1708.5,0.3,ED_d
10,5,1572,0.4,ED_d
10,5,1640,0.5,ED_d
10,5,1150.5,0.6,ED_d
10,5,1220,0.7,ED_d
10,5,1126.5,0.8,ED_d
10,5,866,0.9,ED_d
10,5,971,1,ED_d
10,5,1384,0.1,ED_e
10,5,1496.5,0.1,EE
10,5,1272,0.2,ED_e
10,5,1622,0.2,EE
10,5,1268,0.3,ED_e
10,5,1357,0.3,EE
10,5,1442,0.4,ED_e
10,5,1243.5,0.4,EE
10,5,1519,0.6,ED_e
10,5,NaN,0.6,EE
10,5,1348,0.7,ED_e
10,5,1120,0.7,EE
10,5,1206,0.8,ED_e
10,5,2198,0.8,EE
10,5,1546,0.9,ED_e
10,5,1403,0.9,EE
11,5,1194,0,ED_d
11,5,1499.5,0.1,ED_d
11,5,1198,0.2,ED_d
11,5,1607,0.3,ED_d
11,5,1618.5,0.4,ED_d
11,5,1656.5,0.5,ED_d
11,5,1420.5,0.6,ED_d
11,5,1275,0.7,ED_d
11,5,1198.5,0.8,ED_d
11,5,1331,0.9,ED_d
11,5,1140.5,1,ED_d
11,5,1608,0.1,ED_e
11,5,2048,0.1,EE
11,5,1616,0.2,ED_e
11,5,NaN,0.2,EE
11,5,1235,0.3,ED_e
11,5,2183.5,0.3,EE
11,5,1278,0.4,ED_e
11,5,1694,0.4,EE
11,5,1350,0.6,ED_e
11,5,1414.5,0.6,EE
11,5,1293,0.7,ED_e
11,5,1577,0.7,EE
11,5,1304,0.8,ED_e
11,5,1776,0.8,EE
11,5,1466,0.9,ED_e
11,5,1254,0.9,EE
12,5,1880,0,ED_d
12,5,4757,0.1,ED_d
12,5,1934,0.2,ED_d
12,5,1529.5,0.3,ED_d
12,5,1721,0.4,ED_d
12,5,2241.5,0.5,ED_d
12,5,1925.5,0.6,ED_d
12,5,1498,0.7,ED_d
12,5,1285,0.8,ED_d
12,5,1481.5,0.9,ED_d
12,5,1417,1,ED_d
12,5,1495,0.1,ED_e
12,5,4180,0.1,EE
12,5,1479,0.2,ED_e
12,5,NaN,0.2,EE
12,5,1428,0.3,ED_e
12,5,7819,0.3,EE
12,5,2019,0.4,ED_e
12,5,4323.5,0.4,EE
12,5,1601,0.6,ED_e
12,5,4409,0.6,EE
12,5,2317,0.7,ED_e
12,5,8846.5,0.7,EE
12,5,1817,0.8,ED_e
12,5,1697,0.8,EE
12,5,2051,0.9,ED_e
12,5,6123,0.9,EE
13,5,1012.5,0,ED_d
13,5,1074.5,0.1,ED_d
13,5,1037.5,0.2,ED_d
13,5,1194.5,0.3,ED_d
13,5,2022.5,0.4,ED_d
13,5,1358,0.5,ED_d
13,5,1188.5,0.6,ED_d
13,5,1095,0.7,ED_d
13,5,1210,0.8,ED_d
13,5,945.5,0.9,ED_d
13,5,789.5,1,ED_d
13,5,1077,0.1,ED_e
13,5,NaN,0.1,EE
13,5,1218,0.2,ED_e
13,5,1125.5,0.2,EE
13,5,913,0.3,ED_e
13,5,2245.5,0.3,EE
13,5,1021,0.4,ED_e
13,5,1381,0.4,EE
13,5,1085,0.6,ED_e
13,5,1262,0.6,EE
13,5,1233,0.7,ED_e
13,5,1040,0.7,EE
13,5,1202,0.8,ED_e
13,5,1406.5,0.8,EE
13,5,1292,0.9,ED_e
13,5,1273,0.9,EE
14,5,1856,0,ED_d
14,5,2141,0.1,ED_d
14,5,1873,0.2,ED_d
14,5,2596,0.3,ED_d
14,5,3593.5,0.4,ED_d
14,5,3065,0.5,ED_d
14,5,2522,0.6,ED_d
14,5,2380.5,0.7,ED_d
14,5,2271,0.8,ED_d
14,5,2724.5,0.9,ED_d
14,5,2192.5,1,ED_d
14,5,2500,0.1,ED_e
14,5,NaN,0.1,EE
14,5,2725,0.2,ED_e
14,5,3704.5,0.2,EE
14,5,2349,0.3,ED_e
14,5,2574,0.3,EE
14,5,2140,0.4,ED_e
14,5,3338,0.4,EE
14,5,2669,0.6,ED_e
14,5,4462,0.6,EE
14,5,2359,0.7,ED_e
14,5,3273,0.7,EE
14,5,2029,0.8,ED_e
14,5,2396.5,0.8,EE
14,5,2637,0.9,ED_e
14,5,1986,0.9,EE
15,5,1338.5,0,ED_d
15,5,1278.5,0.1,ED_d
15,5,1207,0.2,ED_d
15,5,1635,0.3,ED_d
15,5,1410.5,0.4,ED_d
15,5,2233.5,0.5,ED_d
15,5,1213.5,0.6,ED_d
15,5,1337,0.7,ED_d
15,5,807.5,0.8,ED_d
15,5,1144,0.9,ED_d
15,5,1235.5,1,ED_d
15,5,1974,0.1,ED_e
15,5,1400,0.1,EE
15,5,1147,0.2,ED_e
15,5,2186,0.2,EE
15,5,1215,0.3,ED_e
15,5,1451,0.3,EE
