subject,exp_num,RT,modality
1,1,4207,H
1,1,5292.5,LE
2,1,890,H
2,1,1380,LE
3,1,2449,H
3,1,1761,LE
4,1,1045,H
4,1,3357,LE
5,1,2306,H
5,1,2064.5,LE
6,1,1009,H
6,1,1194,LE
7,1,1035,H
7,1,1076,LE
8,1,816,H
8,1,1051,LE
9,1,956,H
9,1,NaN,LE
10,1,677.5,H
10,1,906,LE
11,1,966,H
11,1,1007.5,LE
12,1,1788,H
12,1,1338,LE
13,1,952.5,H
13,1,1367,LE
14,1,7075.5,H
14,1,1525,LE
15,1,2566,H
15,1,2301,LE
16,1,2060,H
16,1,1263,LE
17,1,1468,H
17,1,NaN,LE
18,1,1100,H
18,1,797,LE
19,1,711.5,H
19,1,581.5,LE
20,1,1096,H
20,1,5412,LE
21,1,1628.5,H
21,1,2699,LE
22,1,1000,H
22,1,1382,LE
23,1,1114,H
23,1,1123,LE
24,1,1037,H
24,1,2443,LE
25,1,1053.5,H
25,1,NaN,LE
26,1,1441,H
26,1,1193.5,LE
27,1,694,H
27,1,3135.5,LE
28,1,1717,H
28,1,8069,LE
29,1,1302,H
29,1,1091.5,LE
30,1,1489.5,H
30,1,850,LE
31,1,712,H
31,1,1032,LE
32,1,1685,H
32,1,NaN,LE
33,1,1089,H
33,1,1320,LE
34,1,1467,H
34,1,1809,LE
35,1,1413,H
35,1,NaN,LE
36,1,1382,H
36,1,1114,LE
37,1,3547,H
37,1,3267,LE
38,1,1178,H
38,1,1087,LE
39,1,1124,H
39,1,3479,LE
40,1,1237,H
40,1,1040,LE
41,1,1350,H
41,1,1864,LE
42,1,2957,H
42,1,2821,LE
43,1,1715,H
43,1,1760,LE
44,1,2704,H
44,1,3092,LE
45,1,2851,H
45,1,2245.5,LE
46,1,1167.5,H
46,1,1483,LE
47,1,839,H
47,1,1021,LE
48,1,2721.5,H
48,1,2279,LE
49,1,879,H
49,1,2553,LE
50,1,905,H
50,1,2081,LE
51,1,2315,H
51,1,2604,LE
52,1,NaN,H
52,1,1737.5,LE
53,1,787,H
53,1,3624,LE
54,1,2903.5,H
54,1,3121,LE
55,1,920,H
55,1,NaN,LE
56,1,3248.5,H
56,1,2305,LE
57,1,1203,H
57,1,1692,LE
58,1,1196,H
58,1,1008,LE
59,1,1143,H
59,1,2043,LE
60,1,882,H
60,1,NaN,LE
61,1,NaN,H
61,1,1426,LE
62,1,2065.5,H
62,1,2851,LE
63,1,1818,H
63,1,1050,LE
64,1,1582,H
64,1,1902.5,LE
65,1,2263,H
65,1,4378,LE
66,1,823,H
66,1,714,LE
67,1,744,H
67,1,54077,LE
68,1,994,H
