subject,exp_num,RT,modality
73,6,2356,le
73,6,2122.5,both
73,6,2254,none
74,6,906.5,heur
74,6,990,le
74,6,917,both
74,6,607,none
75,6,962.5,heur
75,6,NaN,le
75,6,930,both
75,6,934,none
76,6,1080,heur
76,6,1381,le
76,6,1097.5,both
76,6,1298,none
77,6,2188,heur
77,6,1975,le
77,6,1922,both
77,6,1736,none
78,6,945.5,heur
78,6,1035,le
78,6,895,both
78,6,978.5,none
79,6,2107.5,heur
79,6,3042,le
79,6,2115.5,both
79,6,2559,none
80,6,1008,heur
80,6,1113,le
80,6,1046,both
80,6,1177,none
81,6,1400,heur
81,6,1439,le
81,6,1211,both
81,6,1389,none
82,6,1416,heur
82,6,NaN,le
82,6,1448.5,both
82,6,1597,none
83,6,2362,heur
83,6,2497,le
83,6,2049,both
83,6,1944,none
84,6,958.5,heur
84,6,985,le
84,6,1040,both
84,6,1412,none
85,6,810,heur
85,6,623,le
85,6,784,both
85,6,925,none
86,6,859,heur
86,6,1269,le
86,6,824,both
86,6,1193,none
87,6,1599,heur
87,6,1967,le
87,6,1168,both
87,6,2346,none
88,6,1515.5,heur
88,6,1680,le
88,6,1269,both
88,6,1722,none
89,6,786,heur
89,6,1343,le
89,6,786,both
89,6,575,none
90,6,1477,heur
90,6,1589,le
90,6,1219,both
90,6,2080.5,none
91,6,2870,heur
91,6,2876,le
91,6,2639.5,both
91,6,2692,none
92,6,1460.5,heur
92,6,1238.5,le
92,6,1210,both
92,6,1366,none
93,6,1279,heur
93,6,1549.5,le
93,6,1293.5,both
93,6,1623,none
94,6,1133,heur
94,6,1461,le
94,6,995.5,both
94,6,2009,none
95,6,1423.5,heur
95,6,1838,le
95,6,1418.5,both
95,6,1782,none
96,6,1205.5,heur
96,6,1208,le
96,6,1088.5,both
96,6,928,none
97,6,1191,heur
97,6,1145,le
97,6,1083,both
97,6,1016,none
98,6,1256,heur
98,6,1273,le
98,6,1117.5,both
98,6,1536.5,none
99,6,1407,heur
99,6,2032.5,le
99,6,1240,both
99,6,1603,none
100,6,1654.5,heur
100,6,1868,le
100,6,1636,both
100,6,1814,none
101,6,2113,heur
101,6,2253,le
101,6,1680,both
101,6,2009,none
102,6,837,heur
102,6,822,le
102,6,747,both
102,6,787,none
103,6,1365.5,heur
103,6,1204.5,le
103,6,1194,both
103,6,1511.5,none
104,6,1794,heur
104,6,1713,le
104,6,1373,both
104,6,1515,none
105,6,1035.5,heur
105,6,1494.5,le
105,6,862,both
105,6,1008,none
106,6,2121.5,heur
106,6,1421.5,le
106,6,1265,both
106,6,1287,none
107,6,844.5,heur
107,6,1175,le
107,6,856,both
107,6,1525.5,none
108,6,1375,heur
108,6,1617,le
108,6,1154,both
108,6,1537,none
109,6,1831,heur
109,6,1945,le
109,6,1719,both
109,6,2282,none
110,6,1073,heur
110,6,1486.5,le
110,6,991,both
110,6,1334.5,none
111,6,1559,heur
111,6,1326,le
111,6,1347,both
111,6,133,none
112,6,983,heur
112,6,994,le
112,6,938,both
112,6,1222,none
113,6,1374,heur
113,6,1445.5,le
113,6,1167,both
113,6,1546,none
114,6,889,heur
114,6,NaN,le
114,6,821.5,both
114,6,426,none
115,6,2779,heur
115,6,2467,le
115,6,1626,both
115,6,2427,none
116,6,1254,heur
116,6,1530.5,le
116,6,1160,both
116,6,2211.5,none
