subject,exp_num,RT,modality
108,6,1330,d
108,6,1518,EE
109,6,1706,e
109,6,1829,d
109,6,1904.5,EE
110,6,1423,e
110,6,1261,d
110,6,1928.5,EE
111,6,2786.5,e
111,6,2643,d
111,6,2614,EE
112,6,977,e
112,6,820,d
112,6,1036.5,EE
113,6,2327.5,e
113,6,2258,d
113,6,2896.5,EE
114,6,1443,e
114,6,1427,d
114,6,2004.5,EE
115,6,1212,e
115,6,1402,d
115,6,1203.5,EE
116,6,2811,e
116,6,2250,d
116,6,2403,EE
117,6,850.5,e
117,6,654,d
117,6,808,EE
118,6,1096,e
118,6,1143,d
118,6,1132.5,EE
119,6,1736,e
119,6,1927,d
119,6,1914,EE
120,6,1279,e
120,6,1369.5,d
120,6,1509.5,EE
121,6,1825,e
121,6,1712,d
121,6,1662.5,EE
122,6,1277,e
122,6,1045,d
122,6,1132,EE
123,6,1064,e
123,6,1026,d
123,6,1196.5,EE
124,6,1440,e
124,6,1440,d
124,6,1457.5,EE
125,6,1041,e
125,6,808.5,d
125,6,801,EE
126,6,1407,e
126,6,1283.5,d
126,6,1560.5,EE
127,6,1661,e
127,6,1410,d
127,6,1542.5,EE
128,6,2140,e
128,6,1764,d
128,6,2002.5,EE
129,6,1009,e
129,6,807,d
129,6,667.5,EE
130,6,755,e
130,6,779,d
130,6,697.5,EE
131,6,1109.5,e
131,6,1153,d
131,6,837.5,EE
132,6,941,e
132,6,997,d
132,6,1104.5,EE
133,6,1371.5,e
133,6,1209.5,d
133,6,1274.5,EE
134,6,1276.5,e
134,6,1239.5,d
134,6,1512.5,EE
135,6,1341,e
135,6,1285,d
135,6,1397.5,EE
136,6,1049,e
136,6,976,d
136,6,793.5,EE
137,6,1200,e
137,6,1330,d
137,6,1346,EE
