subject,exp_num,RT,modality
73,6,1366,both
73,6,1853,none
74,6,1354,heur
74,6,1492,le
74,6,1046,both
74,6,1459,none
75,6,1824,heur
75,6,1882,le
75,6,1155.5,both
75,6,1450,none
76,6,816,heur
76,6,767,le
76,6,767,both
76,6,777,none
77,6,1184.5,heur
77,6,1043.5,le
77,6,923,both
77,6,1360,none
78,6,1238,heur
78,6,1273,le
78,6,1123,both
78,6,1536.5,none
79,6,1455,heur
79,6,1659,le
79,6,1155,both
79,6,1686,none
80,6,1414,heur
80,6,1346.5,le
80,6,1195.5,both
80,6,1604,none
81,6,3588.5,heur
81,6,3453,le
81,6,1856,both
81,6,5323,none
82,6,1668,heur
82,6,1676,le
82,6,1636,both
82,6,1871,none
83,6,1474.5,heur
83,6,1589,le
83,6,1221,both
83,6,2080.5,none
84,6,1002,heur
84,6,1038,le
84,6,827.5,both
84,6,1272,none
85,6,1656,heur
85,6,1703,le
85,6,1366,both
85,6,1714,none
86,6,1115,heur
86,6,1381,le
86,6,1078,both
86,6,1298,none
87,6,11419,heur
87,6,3681,le
87,6,3035,both
87,6,7693,none
88,6,1506,heur
88,6,1913,le
88,6,1419,both
88,6,2809,none
89,6,2470.5,heur
89,6,1782,le
89,6,2043,both
89,6,2451,none
90,6,1889,heur
90,6,1458,le
90,6,1247.5,both
90,6,2110,none
91,6,1148,heur
91,6,1153.5,le
91,6,1118.5,both
91,6,912,none
92,6,1122,heur
92,6,1208,le
92,6,1101,both
92,6,1052,none
93,6,2144,heur
93,6,1343,le
93,6,1036,both
93,6,1477,none
94,6,2299.5,heur
94,6,NaN,le
94,6,2216,both
94,6,1104,none
95,6,848.5,heur
95,6,NaN,le
95,6,823,both
95,6,426,none
96,6,1392,heur
96,6,1823,le
96,6,1432.5,both
96,6,1814,none
97,6,1717,heur
97,6,2332,le
97,6,1594,both
97,6,2186,none
98,6,1029,heur
98,6,1019,le
98,6,1032.5,both
98,6,1704,none
99,6,1216.5,heur
99,6,1697.5,le
99,6,1160,both
99,6,2211.5,none
100,6,909,heur
100,6,990,le
100,6,917,both
100,6,599,none
101,6,1248.5,heur
101,6,2212,le
101,6,1082,both
101,6,2153,none
102,6,1928,heur
102,6,1262,le
102,6,1127,both
102,6,2093,none
103,6,1440,heur
103,6,1209,le
103,6,1195,both
103,6,1297,none
104,6,2138,heur
104,6,2335.5,le
104,6,2052,both
104,6,2454.5,none
105,6,878,heur
105,6,1192,le
105,6,851.5,both
105,6,1320,none
106,6,1124,heur
106,6,1511,le
106,6,990.5,both
106,6,2042.5,none
107,6,1652,heur
107,6,1411,le
107,6,1193.5,both
107,6,3498.5,none
108,6,1850,heur
108,6,2430.5,le
108,6,1682,both
108,6,1395,none
109,6,1427.5,heur
109,6,NaN,le
109,6,1447,both
109,6,1597,none
110,6,2008,heur
110,6,2162.5,le
110,6,1709,both
110,6,2272,none
111,6,1384,heur
111,6,2424.5,le
111,6,1240,both
111,6,1683,none
112,6,2868,heur
112,6,2876,le
112,6,2641,both
112,6,2692,none
113,6,975,heur
113,6,1494.5,le
113,6,870,both
113,6,1008,none
114,6,2292.5,heur
114,6,2807,le
114,6,2163,both
114,6,2300,none
115,6,4351,heur
115,6,1406,le
115,6,1324,both
115,6,3417,none
116,6,1264.5,heur
116,6,1238.5,le
116,6,1231,both
116,6,1366,none
117,6,2160,heur
117,6,3005,le
117,6,2097,both
117,6,2570,none
118,6,856,heur
118,6,1343,le
118,6,766,both
118,6,575,none
119,6,1184.5,heur
119,6,1314,le
119,6,1050,both
119,6,1298.5,none
120,6,1886,heur
120,6,1945,le
120,6,1690,both
120,6,2072,none
121,6,1484,heur
121,6,1722,le
121,6,1273,both
121,6,1613,none
122,6,2963,heur
122,6,2121,le
122,6,1624,both
122,6,3723,none
123,6,1038,heur
123,6,1142,le
123,6,1043,both
123,6,1177,none
124,6,1127,heur
124,6,1509,le
124,6,990.5,both
124,6,1327,none
125,6,1427,heur
125,6,1757,le
125,6,1329,both
125,6,1730,none
126,6,1025.5,heur
126,6,590,le
126,6,908,both
126,6,1252,none
127,6,1367.5,heur
127,6,1678.5,le
127,6,1287.5,both
127,6,1333.5,none
128,6,1456.5,heur
128,6,2049.5,le
128,6,1412.5,both
128,6,1855.5,none
129,6,2300,heur
129,6,2032.5,le
129,6,1884,both
129,6,1802.5,none
130,6,958,heur
130,6,1035,le
130,6,898.5,both
130,6,978.5,none
131,6,837,heur
131,6,824,le
131,6,747,both
131,6,722,none
132,6,1128,heur
132,6,1308.5,le
132,6,1073,both
132,6,1395,none
133,6,1147,heur
133,6,937,le
133,6,925.5,both
133,6,1243,none
134,6,1384.5,heur
134,6,1421,le
134,6,1226,both
134,6,1568,none
135,6,1424,heur
135,6,1979,le
135,6,1166.5,both
135,6,1706,none
136,6,1515,heur
136,6,1878,le
136,6,1217.5,both
136,6,1762,none
137,6,1026,heur
137,6,905,le
137,6,1005,both
137,6,761,none
138,6,1426.5,heur
138,6,1307,le
138,6,1347.5,both
138,6,129.5,none
