value,split,exp_num
0.0499999963008288,poor,2
0.150052891638354,poor,2
0.016661755053165,poor,1
-0.0832926070653856,poor,3
0.249999986658701,poor,6
0.117985567102355,poor,4
0.0667031867677412,poor,1
0.294893925403075,poor,4
-0.0166466216929702,poor,3
0.0042256306585022,poor,7
-0.00743826132049034,poor,1
0.0333515298333346,poor,1
0.050034296186566,poor,1
-0.033349012622869,poor,1
-0.55822603772311,poor,1
0.0833495040863894,poor,1
-0.0590370715835607,poor,7
0.335704053215957,poor,6
-0.00743826132049034,poor,1
0.844398437676173,poor,2
-0.00743826132049034,poor,2
0.0252532253382601,poor,7
-0.201057877696785,poor,3
0.516930747465275,poor,6
0.217125311569968,poor,1
-0.0833333338193223,poor,1
0.909540208632193,poor,1
0.0833132988155455,poor,1
0.407132244106108,poor,1
-1.13417863393089e-06,poor,1
0.399698983643947,poor,6
0.116672172236936,poor,2
-0.06668034460049,poor,2
0.14055159229999,poor,3
-0.00743826132049034,poor,2
-0.260749770653318,poor,5
0.733413449765394,poor,1
0.279675457079767,poor,1
3.48734339277819e-05,poor,1
-0.00743826132049034,poor,1
0.0499815048401235,poor,5
-1.13417863393089e-06,poor,2
-0.0231842964085014,poor,1
0.0667722639288312,poor,2
0.610307285160251,poor,1
0.283202362376934,poor,1
-0.202164196620283,poor,2
0.267454379864445,poor,1
0.887597345054428,poor,4
0.18663704368453,poor,1
0.333336149679179,poor,1
0.435499365288262,poor,1
0.433427563652634,poor,1
0.717475357873507,poor,2
0.529814442483171,poor,5
4.25646447791779e-09,poor,1
-0.00743826132049034,poor,1
0.469729143735643,poor,1
1.19732117271754,poor,2
-1.59666230166694e-05,poor,2
0.0500692724019111,poor,1
0.0666666370859671,poor,1
0.0166610030079434,poor,2
0.145505280356487,poor,4
-0.00743826132049034,poor,2
0.200031280967315,poor,1
0.133480516877504,poor,2
0.345904838085207,poor,2
0.0834259226291277,poor,2
0.183545109132106,poor,2
-1.13417863393089e-06,poor,2
-0.0294118622208303,poor,4
0.233078595665329,poor,6
0.0333333257056597,poor,1
0.823780137929374,poor,4
0.0670981484669659,poor,2
0.299341173115619,poor,6
0.554616980935315,poor,6
-0.0500278517497773,poor,1
-0.116670286167665,poor,2
-0.00743826132049034,poor,6
0.408488180252846,poor,1
0.250000036829319,poor,2
-0.0669442127467106,poor,1
0.923228339723195,poor,6
0.550874907139935,poor,1
0.166669196233582,poor,2
-0.134028087023134,poor,3
1.62680938664101,poor,1
-0.0666713920769737,poor,3
0.286695682066951,poor,1
0.332951207524808,poor,3
0.515992666527223,poor,3
0.23388285269529,poor,1
0.0166664486220595,poor,5
-0.127482623687311,poor,6
0.0331144996714135,poor,2
-0.099939721689039,poor,6
-0.189976592519533,poor,3
0.516098343267005,poor,6
-0.117671161109357,poor,4
