session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,bonus
5d30d1a8f6d81600162b81ed,5d1ddfeffb14a20018b5f7bb,APPROVED,2019-07-18 20:08:13.664000,2019-07-18 20:39:06.232000,1852.568,25,76,1,100,2019-07-24 10:29:51.896000,RNFS5HP5,Portugal,Portugal,Unemployed (and job seeking),Portuguese,Portugal,Female,DATA EXPIRED,3.44
5d30da58a3de0e00193b0619,5c13b9223b61bc00016b29f8,APPROVED,2019-07-18 20:45:20.630000,2019-07-18 21:19:34.720000,2054.09,27,201,2,99,2019-07-24 10:29:52.946000,RNFS5HP5,Spain,Spain,Part-Time,Catalan,Spain,Female,No,4.72
5d30ddda10762400012d11fa,5d0f5ed255f0c7001934648d,APPROVED,2019-07-18 21:00:14.159000,2019-07-18 21:43:36.282000,2602.123,45,69,0,100,2019-07-24 10:29:53.718000,RNFS5HP5,Spain,Spain,DATA EXPIRED,Spanish,Spain,Male,DATA EXPIRED,4.41
5d3f1baeb7d4a200017b5558,5980ce371815040001e6917b,APPROVED,2019-07-29 16:15:45.993000,2019-07-29 16:43:52.497000,1686.504,41,122,3,99,2019-07-29 18:50:25.652000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED,4.16
5d3f1bbfd5d2ad0017e78e52,5d3f020cfd9694001a2d1a1c,APPROVED,2019-07-29 16:16:21.325000,2019-07-29 16:48:47.313000,1945.988,29,158,1,100,2019-07-29 18:50:24.751000,RNFS5HP5,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No,2.78
5d3f1c6b29130a00155cd02c,5d3f14f66a8a4e0018c17ed9,TIMED-OUT,2019-07-29 16:18:57.135000,,60565071.262996,25,285,1,100,,,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,NULL
5d3f1c85dc1fcd001953dc59,5d3f17f97306c7001ac35065,RETURNED,2019-07-29 16:19:21.090000,,60565047.317894,,0,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5d3f1d768eb88b00012342ed,5bf4cfdde836680001bcd0fc,APPROVED,2019-07-29 16:23:21.775000,2019-07-29 16:48:45.768000,1523.993,19,53,1,99,2019-07-29 18:50:20.414000,RNFS5HP5,Canada,Canada,DATA EXPIRED,Chinese,Canada,Female,DATA EXPIRED,4.77
5d3f1df1506ef30016fa5e93,59dbb9f26100f90001949f21,TIMED-OUT,2019-07-29 16:25:30.488000,,60564677.973652,43,675,2,100,,,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,DATA EXPIRED,4.16
5d3f1e3a12a7c200193c0dad,5d3f0166e0ab94001a6bcb1c,TIMED-OUT,2019-07-29 16:26:38.315000,,60564610.17149,28,0,0,100,,,Nigeria,United Kingdom,DATA EXPIRED,English,Nigeria,Female,DATA EXPIRED,NULL
5d3f1e3e5edc3a001a53876e,5d3dc87741fc55001aff57a9,APPROVED,2019-07-29 16:26:41.468000,2019-07-29 17:09:30.677000,2569.209,,3,0,100,2019-07-29 18:50:18.227000,RNFS5HP5,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,NULL
5d3f1e7365b1e000170afc17,5c74c6665e5cf50001e0fc9e,APPROVED,2019-07-29 16:30:13.438000,2019-07-29 17:38:32.718000,4099.28,32,14,0,100,2019-07-29 18:50:17.364000,RNFS5HP5,Mexico,Mexico,DATA EXPIRED,Spanish,Mexico,Female,DATA EXPIRED,4.16
5d3f1e79e142660001aac057,5cfaee87dd5bdb001a1023f9,RETURNED,2019-07-29 16:27:40.786000,,60564547.759554,31,11,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5d3f1e9678e6b500018419c5,5b751284f20ba900019cd355,APPROVED,2019-07-29 16:28:08.382000,2019-07-29 16:54:40.188000,1591.806,33,58,3,95,2019-07-29 18:50:15.307000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED,2.78
5d3f1eb63f3db900183c7d94,5baab77a9507e2000158683a,RETURNED,2019-07-29 16:39:00.064000,,60563868.519387,29,52,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5d3f1eb87306c70001c3508c,5d3ef88dbaf11000191edae4,APPROVED,2019-07-29 16:28:45.379000,2019-07-29 17:11:00.691000,2535.312,24,175,0,100,2019-07-29 18:50:09.875000,RNFS5HP5,Sweden,Sweden,Full-Time,Swedish,Sweden,Male,DATA EXPIRED,3.6
5d3f1f61d95b1e0019b7f3fa,5b34eee8a2982a0001ddaf52,APPROVED,2019-07-29 16:31:33.630000,2019-07-29 16:55:24.406000,1430.776,24,178,5,98,2019-07-29 18:50:08.881000,RNFS5HP5,Germany,Germany,Part-Time,German,Germany,Female,No,4.36
5d3f1fab962f270018544231,5cf4f88aada72300156a4432,APPROVED,2019-07-29 16:32:49.991000,2019-07-29 17:03:00.347000,1810.356,33,41,0,100,2019-07-29 18:50:08.233000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,4.46
5d3f1fd0d95b1e0017b7f39f,5d3edcb02c23e7001ac53db6,TIMED-OUT,2019-07-29 16:33:22.151000,,60564206.506035,57,0,0,100,,,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,NULL
5d3f2002e861f40001402a60,5c0bdf56b65da90001a9cef1,APPROVED,2019-07-29 16:34:13.332000,2019-07-29 17:11:28.781000,2235.449,25,46,3,92,2019-07-29 18:50:06.029000,RNFS5HP5,Hungary,United Kingdom,DATA EXPIRED,Hungarian,Hungary,Female,DATA EXPIRED,3.19
5d3f201d1d434d0001c6d547,5d2c4a5091daf50016f531eb,APPROVED,2019-07-29 16:34:39.324000,2019-07-29 17:00:36.879000,1557.555,19,115,0,100,2019-07-29 18:50:05.693000,RNFS5HP5,Poland,Poland,Other,Polish,Poland,Female,Yes,2.98
5d3f202b506ef30017fa5ea5,5b8918e8e9a6cb00015fcafc,RETURNED,2019-07-29 16:34:54.074000,,60564114.635008,22,93,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5d3f2085591c430001ec74a1,5c789d288ca9000001b51548,RETURNED,2019-07-29 16:46:21.483000,,60563427.243964,22,27,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5d3f20914143ad0001f674a2,5d3f0f10baf11000191edb34,APPROVED,2019-07-29 16:36:52.087000,2019-07-29 17:12:51.340000,2159.253,45,161,1,99,2019-07-29 18:50:03.811000,RNFS5HP5,Slovakia,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",Slovak,Slovakia,Female,No,NULL
5d3f20ae7eb05d0019ca62e1,56c8a2ca1d066b00064738be,APPROVED,2019-07-29 16:37:11.177000,2019-07-29 16:59:32.511000,1341.334,33,497,5,99,2019-07-29 18:50:02.614000,RNFS5HP5,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No,3.8
5d3f20b66d0c3c0001b97a7c,5d3ec98133c2b2001920294d,APPROVED,2019-07-29 16:37:17.379000,2019-07-29 17:06:15.118000,1737.739,22,17,0,100,2019-07-29 18:50:01.798000,RNFS5HP5,Poland,Poland,DATA EXPIRED,Polish,Poland,Female,DATA EXPIRED,4.16
5d3f21506866bc0001904f08,5d34151e9ed612001615c97a,APPROVED,2019-07-29 16:39:50.168000,2019-07-29 17:04:14.272000,1464.104,29,44,0,100,2019-07-29 18:50:00.549000,RNFS5HP5,Poland,Poland,Full-Time,Polish,Poland,Female,Yes,3.7
5d3f21933f92760019ec9683,5ce6bf6bff479a001a356b09,RETURNED,2019-07-29 16:40:57.024000,,60563751.784826,23,112,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5d3f219697c7fe000193296e,5a593057acc75b00017a42be,APPROVED,2019-07-29 16:41:01.305000,2019-07-29 17:14:47.301000,2025.996,46,297,6,98,2019-07-29 18:49:55.424000,RNFS5HP5,United Kingdom,United Kingdom,Full-Time,Italian,United Kingdom,Prefer not to say,No,NULL
5d3f219b0cec5b000105444f,5d3f1485e4a75b0018fabac2,APPROVED,2019-07-29 16:41:04.416000,2019-07-29 17:13:11.477000,1927.061,59,353,6,96,2019-07-29 18:49:52.094000,RNFS5HP5,United Kingdom,Spain,Other,DATA EXPIRED,United Kingdom,Female,No,3.19
5d3f219c962f2700195445c2,5ac3adc6e1099600016a76e6,APPROVED,2019-07-29 16:41:02.226000,2019-07-29 17:13:01.796000,1919.57,40,84,3,98,2019-07-29 18:49:51.113000,RNFS5HP5,Russian Federation,Italy,DATA EXPIRED,Italian,DATA EXPIRED,Female,DATA EXPIRED,2.02
5d3f219fbe5fdf001918a1ea,5d3aff5fb5718a001904af93,APPROVED,2019-07-29 16:41:12.032000,2019-07-29 17:17:18.327000,2166.295,,25,3,87,2019-07-29 18:49:50.233000,RNFS5HP5,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,2.58
