"RetrieveAndCompare","3325406994","5cc1f4d8ef7ba20017330c2a","0","0.8","0.3","2593","1","-1","1","1","1","1","-1","8","3","-1","-1","-1","0","-1","-1","-1","0.6","-0.4","0","0","173775","-1","0","14:19:09"
"RetrieveAndCompare","3325406994","5cc1f4d8ef7ba20017330c2a","0","0.8","0.2","971","1","-1","1","1","1","2","-1","8","2","-1","-1","-1","0","-1","-1","-1","0.6","-0.6","0","0","178875","-1","0","14:19:13"
"RetrieveAndCompare","3325406994","5cc1f4d8ef7ba20017330c2a","0","0.8","0.1","858","1","-1","1","1","1","3","-1","8","1","-1","-1","-1","0","-1","-1","-1","0.6","-0.8","0","0","182350","-1","0","14:19:16"
"RetrieveAndCompare","439844155","598b453278c7d500012cc0bb","-1","0.9","0.1","17786","1","-1","1","1","0","0","0","-1","-1","6","1","1","0","-1","1","6","0.8","-0.8","-1","1","47972","0","0","14:19:17"
"RetrieveAndCompare","3325406994","5cc1f4d8ef7ba20017330c2a","0","0.8","0.3","1058","1","1","1","1","1","4","-1","8","3","-1","-1","-1","0","-1","-1","-1","0.6","-0.4","1","0","185712","-1","0","14:19:19"
"RetrieveAndCompare","439844155","598b453278c7d500012cc0bb","-1","0.9","0.1","2674","1","-1","1","1","0","1","0","-1","-1","6","1","1","0","-1","1","6","0.8","-0.8","-1","1","69640","0","0","14:19:23"
"RetrieveAndCompare","3325406994","5cc1f4d8ef7ba20017330c2a","0","0.2","0.3","1829","-1","-1","1","0","1","5","-1","2","3","-1","-1","1","0","-1","-1","-1","-0.6","-0.4","0","1","189275","-1","0","14:19:24"
"RetrieveAndCompare","3325406994","5cc1f4d8ef7ba20017330c2a","0","0.2","0.1","1011","-1","-1","1","1","1","6","-1","2","1","-1","-1","-1","0","-1","-1","-1","-0.6","-0.8","0","0","193607","-1","0","14:19:27"
"RetrieveAndCompare","439844155","598b453278c7d500012cc0bb","-1","0.9","0.1","2098","1","1","1","1","0","2","0","-1","-1","6","1","1","0","-1","1","6","0.8","-0.8","-1","1","74844","0","0","14:19:28"
"RetrieveAndCompare","3325406994","5cc1f4d8ef7ba20017330c2a","0","0.2","0.2","1052","-1","-1","1","1","1","7","-1","2","2","-1","-1","1","0","-1","-1","-1","-0.6","-0.6","0","1","197124","-1","0","14:19:31"
"RetrieveAndCompare","439844155","598b453278c7d500012cc0bb","-1","0.6","0.4","2004","1","-1","1","1","0","3","3","-1","-1","5","2","-1","0","-1","5","2","0.2","-0.2","-1","0","79465","0","0","14:19:33"
"RetrieveAndCompare","3961533162","5cf000a45ee75700181cb478","-1","0.8","0.2","1971","-1","-1","2","0","0","0","1","-1","-1","1","2","-1","0","-1","2","1","0.6","-0.6","-1","1","187572","0","0","14:19:35"
"RetrieveAndCompare","3325406994","5cc1f4d8ef7ba20017330c2a","0","0.2","0","1402","-1","-1","1","1","1","8","-1","2","0","-1","-1","1","0","-1","-1","-1","-0.6","-1","0","1","200684","-1","0","14:19:35"
"RetrieveAndCompare","439844155","598b453278c7d500012cc0bb","-1","0.6","0.4","1322","1","-1","2","0","0","4","3","-1","-1","5","2","1","0","-1","5","2","0.2","-0.2","-1","0","84010","0","0","14:19:36"
